grid search results

Top 33 | Acc: 0.8759 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 34 | Acc: 0.8754 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 35 | Acc: 0.8748 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 36 | Acc: 0.8741 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 37 | Acc: 0.8741 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 38 | Acc: 0.8739 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 39 | Acc: 0.8739 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 40 | Acc: 0.8730 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 41 | Acc: 0.8728 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 42 | Acc: 0.8720 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 43 | Acc: 0.8714 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 44 | Acc: 0.8713 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 45 | Acc: 0.8708 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 46 | Acc: 0.8708 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 47 | Acc: 0.8707 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 48 | Acc: 0.8707 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 49 | Acc: 0.8704 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 50 | Acc: 0.8701 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 51 | Acc: 0.8699 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 52 | Acc: 0.8697 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 53 | Acc: 0.8697 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 54 | Acc: 0.8695 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 55 | Acc: 0.8693 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 56 | Acc: 0.8690 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 57 | Acc: 0.8688 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 58 | Acc: 0.8688 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 59 | Acc: 0.8686 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 60 | Acc: 0.8686 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 61 | Acc: 0.8683 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 62 | Acc: 0.8680 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 63 | Acc: 0.8672 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 64 | Acc: 0.8670 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.0}
Top 65 | Acc: 0.8666 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 66 | Acc: 0.8662 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 67 | Acc: 0.8662 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 68 | Acc: 0.8660 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 69 | Acc: 0.8660 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 70 | Acc: 0.8660 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 71 | Acc: 0.8655 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 72 | Acc: 0.8655 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.0}
Top 73 | Acc: 0.8652 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.2}
Top 74 | Acc: 0.8651 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 75 | Acc: 0.8649 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 76 | Acc: 0.8648 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 77 | Acc: 0.8642 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.0}
Top 78 | Acc: 0.8639 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 79 | Acc: 0.8638 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.05, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 80 | Acc: 0.8634 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'sigmoid', 'dropout_rate': 0.2}
Top 81 | Acc: 0.8634 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0001, 'batch_size': 64, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 82 | Acc: 0.8632 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0, 'batch_size': 64, 'activation': 'relu', 'dropout_rate': 0.0}
Top 83 | Acc: 0.8632 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'relu', 'dropout_rate': 0.2}
Top 84 | Acc: 0.8631 | 配置: {'hidden_dims': [256, 128], 'learning_rate': 0.1, 'weight_decay': 0.0001, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
Top 85 | Acc: 0.8627 | 配置: {'hidden_dims': [128, 64], 'learning_rate': 0.01, 'weight_decay': 0.0, 'batch_size': 128, 'activation': 'tanh', 'dropout_rate': 0.2}
